dataset,method,seed,reference_type,trajectory_comparable,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_distribution_tv,mean_feature_centroid_drift,mean_parameter_change,mean_batch_seconds,total_seconds,final_buffer_size,ewc_lambda,threshold,initial_lr,online_lr,fisher_mean,fisher_max,_source_file,offline_training_seconds,offline_epochs,offline_train_examples,mean_initial_pseudo_precision,mean_cluster_precision,mean_semantic_precision,mean_sharpness_gap,mean_flat_width,mean_projected_gradient_fraction,final_subspace_rank
svhn,offline,3,oracle_joint_supervised,False,0.08408881376767056,0.3819913952059004,,,,,,,0.437109375,,,,16.954599666000004,,,,,,,,summary_svhn_offline_seed3_epochs5_lr0.001.json,5.725453583,5.0,6120.0,,,,,,,
svhn,offline,4,oracle_joint_supervised,False,0.1272280270436386,0.3913260602335587,,,,,,,0.437109375,,,,16.971025917000002,,,,,,,,summary_svhn_offline_seed4_epochs5_lr0.001.json,5.7140207919999995,5.0,6120.0,,,,,,,
svhn,replay,0,continual_semi_supervised,True,0.1466656422864167,0.1466656422864167,0.14666564228641668,0.0,0.13932581469224872,0.0,,0.0,0.41629464285714285,0.17420649207418876,0.0,11.187319995749998,237.4356235,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_replay_seed0_lam50_thr0.9.json,,,,,,,,,,
svhn,replay,1,continual_semi_supervised,True,0.08347418561770129,0.08347418561770129,0.08347418561770129,0.0,0.09377013411653468,0.0,,0.0,0.41629464285714285,0.2314347605974901,0.0,11.165226312450004,236.919431917,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_replay_seed1_lam50_thr0.9.json,,,,,,,,,,
svhn,replay,2,continual_semi_supervised,True,0.12088967424708051,0.12088967424708051,0.1208896742470805,0.0,0.11322162021258603,0.0,,0.0,0.41629464285714285,0.14068357450444074,0.0,13.2090646959,277.903680333,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_replay_seed2_lam50_thr0.9.json,,,,,,,,,,
svhn,replay,3,continual_semi_supervised,True,0.08408881376767056,0.08408881376767056,0.08408881376767055,0.0,0.09424985913778193,0.0,,0.0,0.41629464285714285,0.18923909751077495,0.0,13.5450766833,286.5692535,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_replay_seed3_lam50_thr0.9.json,,,,,,,,,,
svhn,replay,4,continual_semi_supervised,True,0.1272280270436386,0.1272280270436386,0.1272280270436386,0.0,0.11777025130553907,0.0,,0.0,0.41629464285714285,0.2566660459020308,0.0,13.569903116800003,286.98978750000003,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_replay_seed4_lam50_thr0.9.json,,,,,,,,,,
cifar10,sdsl_full,0,,,0.2835,0.3634,0.33237500000000003,0.10049999999999999,0.33004761904761903,0.0799,0.3015625,1.0,,,0.010833207616807807,5.6482041875,119.941501458,,,,,,,,summary_cifar10_sdsl_full_seed0.json,,,,0.324609375,0.2673828125,0.271875,0.775584286749363,0.11170936358671282,0.7429072643951574,8.0
cifar10,sdsl_full,1,,,0.2985,0.367,0.32863000000000003,0.08060000000000003,0.3271952380952381,0.06849999999999999,0.305078125,1.0,,,0.010725404602530103,5.638587089549998,119.63511491599999,,,,,,,,summary_cifar10_sdsl_full_seed1.json,,,,0.3279296875,0.263671875,0.2693359375,0.5029647091031075,0.085700910444194,0.675488877301954,8.0
cifar10,sdsl_full,2,,,0.3047,0.3808,0.34553,0.0831,0.3435857142857143,0.0761,0.324609375,1.0,,,0.010905138037658977,5.644684320750001,119.89076925,,,,,,,,summary_cifar10_sdsl_full_seed2.json,,,,0.35,0.281640625,0.2890625,0.6980400308966636,0.10491222785862017,0.6676187289661683,8.0
